ID,CourseNo,Section,StudentGroup,CourseType,YearSemester
0,HUM1107,A,3,Theory,11
1,MATH1115,A,3,Theory,11
2,MATH1115,A,3,Theory,11
3,CSE1101,A,3,Theory,11
4,PHY1115,A,3,Theory,11
5,HUM1107,A,3,Theory,11
6,CSE1101,A,3,Theory,11
7,CHEM1115,A,3,Theory,11
8,CHEM1115,A,3,Theory,11
9,CHEM1115,A,3,Theory,11
10,PHY1115,A,3,Theory,11
11,PHY1115,A,3,Theory,11
12,HUM1107,A,3,Theory,11
13,CSE1101,A,3,Theory,11
14,MATH1115,A,3,Theory,11
15,CSE1101,B,3,Theory,11
16,HUM1107,B,3,Theory,11
17,MATH1115,B,3,Theory,11
18,CHEM1115,B,3,Theory,11
19,CSE1101,B,3,Theory,11
20,PHY1115,B,3,Theory,11
21,CHEM1115,B,3,Theory,11
22,CHEM1115,B,3,Theory,11
23,HUM1107,B,3,Theory,11
24,PHY1115,B,3,Theory,11
25,PHY1115,B,3,Theory,11
26,CSE1101,B,3,Theory,11
27,MATH1115,B,3,Theory,11
28,MATH1115,B,3,Theory,11
29,HUM1107,B,3,Theory,11
30,HUM1107,C,3,Theory,11
31,CSE1101,C,3,Theory,11
32,CHEM1115,C,3,Theory,11
33,PHY1115,C,3,Theory,11
34,CSE1101,C,3,Theory,11
35,HUM1107,C,3,Theory,11
36,HUM1107,C,3,Theory,11
37,CSE1101,C,3,Theory,11
38,MATH1115,C,3,Theory,11
39,MATH1115,C,3,Theory,11
40,CHEM1115,C,3,Theory,11
41,CHEM1115,C,3,Theory,11
42,PHY1115,C,3,Theory,11
43,PHY1115,C,3,Theory,11
44,MATH1115,C,3,Theory,11
45,CSE1203,A,3,Theory,12
46,CSE1205,A,3,Theory,12
47,EEE1241,A,3,Theory,12
48,ME1211,A,3,Theory,12
49,ME1211,A,3,Theory,12
50,MATH1219,A,3,Theory,12
51,CSE1205,A,3,Theory,12
52,CSE1203,A,3,Theory,12
53,MATH1219,A,3,Theory,12
54,ME1211,A,3,Theory,12
55,CSE1203,A,3,Theory,12
56,CSE1205,A,3,Theory,12
57,EEE1241,A,3,Theory,12
58,EEE1241,A,3,Theory,12
59,MATH1219,A,3,Theory,12
60,ME1211,B,3,Theory,12
61,CSE1203,B,3,Theory,12
62,CSE1205,B,3,Theory,12
63,EEE1241,B,3,Theory,12
64,EEE1241,B,3,Theory,12
65,ME1211,B,3,Theory,12
66,MATH1219,B,3,Theory,12
67,CSE1205,B,3,Theory,12
68,CSE1203,B,3,Theory,12
69,CSE1203,B,3,Theory,12
70,CSE1205,B,3,Theory,12
71,ME1211,B,3,Theory,12
72,MATH1219,B,3,Theory,12
73,MATH1219,B,3,Theory,12
74,EEE1241,B,3,Theory,12
75,CSE2105,A,3,Theory,21
76,CSE2103,A,3,Theory,21
77,EEE2141,A,3,Theory,21
78,HUM2109,A,3,Theory,21
79,HUM2109,A,3,Theory,21
80,MATH2101,A,3,Theory,21
81,EEE2141,A,3,Theory,21
82,MATH2101,A,3,Theory,21
83,CSE2103,A,3,Theory,21
84,MATH2101,A,3,Theory,21
85,CSE2105,A,3,Theory,21
86,HUM2109,A,3,Theory,21
87,CSE2103,A,3,Theory,21
88,CSE2105,A,3,Theory,21
89,EEE2141,A,3,Theory,21
90,EEE2141,B,3,Theory,21
91,EEE2141,B,3,Theory,21
92,HUM2109,B,3,Theory,21
93,HUM2109,B,3,Theory,21
94,CSE2103,B,3,Theory,21
95,CSE2105,B,3,Theory,21
96,HUM2109,B,3,Theory,21
97,MATH2101,B,3,Theory,21
98,EEE2141,B,3,Theory,21
99,CSE2105,B,3,Theory,21
