ID,CourseNo,Section,StudentGroup,CourseType
0,HUM1107,A,3,Theory
1,MATH1115,A,3,Theory
2,MATH1115,A,3,Theory
3,CSE1101,A,3,Theory
4,PHY1115,A,3,Theory
5,HUM1107,A,3,Theory
6,CSE1101,A,3,Theory
7,CHEM1115,A,3,Theory
8,CHEM1115,A,3,Theory
9,CHEM1115,A,3,Theory
10,PHY1115,A,3,Theory
11,PHY1115,A,3,Theory
12,HUM1107,A,3,Theory
13,CSE1101,A,3,Theory
14,MATH1115,A,3,Theory
15,CSE1101,B,3,Theory
16,HUM1107,B,3,Theory
17,MATH1115,B,3,Theory
18,CHEM1115,B,3,Theory
19,CSE1101,B,3,Theory
20,PHY1115,B,3,Theory
21,CHEM1115,B,3,Theory
22,CHEM1115,B,3,Theory
23,HUM1107,B,3,Theory
24,PHY1115,B,3,Theory
25,PHY1115,B,3,Theory
26,CSE1101,B,3,Theory
27,MATH1115,B,3,Theory
28,MATH1115,B,3,Theory
29,HUM1107,B,3,Theory
30,HUM1107,C,3,Theory
31,CSE1101,C,3,Theory
32,CHEM1115,C,3,Theory
33,PHY1115,C,3,Theory
34,CSE1101,C,3,Theory
35,HUM1107,C,3,Theory
36,HUM1107,C,3,Theory
37,CSE1101,C,3,Theory
38,MATH1115,C,3,Theory
39,MATH1115,C,3,Theory
40,CHEM1115,C,3,Theory
41,CHEM1115,C,3,Theory
42,PHY1115,C,3,Theory
43,PHY1115,C,3,Theory
44,MATH1115,C,3,Theory
45,CSE1203,A,3,Theory
46,CSE1205,A,3,Theory
47,EEE1241,A,3,Theory
48,ME1211,A,3,Theory
49,ME1211,A,3,Theory
50,MATH1219,A,3,Theory
51,CSE1205,A,3,Theory
52,CSE1203,A,3,Theory
53,MATH1219,A,3,Theory
54,ME1211,A,3,Theory
55,CSE1203,A,3,Theory
56,CSE1205,A,3,Theory
57,EEE1241,A,3,Theory
58,EEE1241,A,3,Theory
59,MATH1219,A,3,Theory
60,ME1211,B,3,Theory
61,CSE1203,B,3,Theory
