ID,RoomNo,startTime,endTime,Day,slotID,CourseType,Session
0,7A03,8:00:00,8:50:00,Saturday,Sat8.00.7A03,Theory,1
1,7A03,8:50:00,9:40:00,Saturday,Sat8.50.7A03,Theory,1
2,7A03,9:40:00,10:30:00,Saturday,Sat9.40.7A03,Theory,1
3,7A03,10:30:00,11:20:00,Saturday,Sat10.30.7A03,Theory,2
4,7A03,11:20:00,12:10:00,Saturday,Sat11.20.7A03,Theory,2
5,7A03,12:10:00,13:00:00,Saturday,Sat12.10.7A03,Theory,2
6,7A03,13:00:00,13:50:00,Saturday,Sat1.00.7A03,Theory,3
7,7A03,13:50:00,14:40:00,Saturday,Sat1.50.7A03,Theory,3
8,7A03,14:40:00,15:30:00,Saturday,Sat2.40.7A03,Theory,3
9,7A04,8:00:00,8:50:00,Saturday,Sat8.00.7A04,Theory,1
10,7A04,8:50:00,9:40:00,Saturday,Sat8.50.7A04,Theory,1
11,7A04,9:40:00,10:30:00,Saturday,Sat9.40.7A04,Theory,1
12,7A04,10:30:00,11:20:00,Saturday,Sat10.30.7A04,Theory,2
13,7A04,11:20:00,12:10:00,Saturday,Sat11.20.7A04,Theory,2
14,7A04,12:10:00,13:00:00,Saturday,Sat12.10.7A04,Theory,2
15,7A04,13:00:00,13:50:00,Saturday,Sat1.00.7A04,Theory,3
16,7A04,13:50:00,14:40:00,Saturday,Sat1.50.7A04,Theory,3
17,7A04,14:40:00,15:30:00,Saturday,Sat2.40.7A04,Theory,3
18,7A05,8:00:00,8:50:00,Saturday,Sat8.00.7A05,Theory,1
19,7A05,8:50:00,9:40:00,Saturday,Sat8.50.7A05,Theory,1
20,7A05,9:40:00,10:30:00,Saturday,Sat9.40.7A05,Theory,1
21,7A05,10:30:00,11:20:00,Saturday,Sat10.30.7A05,Theory,2
22,7A05,11:20:00,12:10:00,Saturday,Sat11.20.7A05,Theory,2
23,7A05,12:10:00,13:00:00,Saturday,Sat12.10.7A05,Theory,2
24,7A05,13:00:00,13:50:00,Saturday,Sat1.00.7A05,Theory,3
25,7A05,13:50:00,14:40:00,Saturday,Sat1.50.7A05,Theory,3
26,7A05,14:40:00,15:30:00,Saturday,Sat2.40.7A05,Theory,3
27,7A06,8:00:00,8:50:00,Saturday,Sat8.00.7A06,Theory,1
28,7A06,8:50:00,9:40:00,Saturday,Sat8.50.7A06,Theory,1
29,7A06,9:40:00,10:30:00,Saturday,Sat9.40.7A06,Theory,1
30,7A06,10:30:00,11:20:00,Saturday,Sat10.30.7A06,Theory,2
31,7A06,11:20:00,12:10:00,Saturday,Sat11.20.7A06,Theory,2
32,7A06,12:10:00,13:00:00,Saturday,Sat12.10.7A06,Theory,2
33,7A06,13:00:00,13:50:00,Saturday,Sat1.00.7A06,Theory,3
34,7A06,13:50:00,14:40:00,Saturday,Sat1.50.7A06,Theory,3
35,7A06,14:40:00,15:30:00,Saturday,Sat2.40.7A06,Theory,3
36,7A07,8:00:00,8:50:00,Saturday,Sat8.00.7A07,Theory,1
37,7A07,8:50:00,9:40:00,Saturday,Sat8.50.7A07,Theory,1
38,7A07,9:40:00,10:30:00,Saturday,Sat9.40.7A07,Theory,1
39,7A07,10:30:00,11:20:00,Saturday,Sat10.30.7A07,Theory,2
40,7A07,11:20:00,12:10:00,Saturday,Sat11.20.7A07,Theory,2
41,7A07,12:10:00,13:00:00,Saturday,Sat12.10.7A07,Theory,2
42,7A07,13:00:00,13:50:00,Saturday,Sat1.00.7A07,Theory,3
43,7A07,13:50:00,14:40:00,Saturday,Sat1.50.7A07,Theory,3
44,7A07,14:40:00,15:30:00,Saturday,Sat2.40.7A07,Theory,3
45,7C06,8:00:00,8:50:00,Saturday,Sat8.00.7C06,Theory,1
46,7C06,8:50:00,9:40:00,Saturday,Sat8.50.7C06,Theory,1
47,7C06,9:40:00,10:30:00,Saturday,Sat9.40.7C06,Theory,1
48,7C06,10:30:00,11:20:00,Saturday,Sat10.30.7C06,Theory,2
49,7C06,11:20:00,12:10:00,Saturday,Sat11.20.7C06,Theory,2
50,7C06,12:10:00,13:00:00,Saturday,Sat12.10.7C06,Theory,2
51,7C06,13:00:00,13:50:00,Saturday,Sat1.00.7C06,Theory,3
52,7C06,13:50:00,14:40:00,Saturday,Sat1.50.7C06,Theory,3
53,7C06,14:40:00,15:30:00,Saturday,Sat2.40.7C06,Theory,3
54,7C07,8:00:00,8:50:00,Saturday,Sat8.00.7C07,Theory,1
55,7C07,8:50:00,9:40:00,Saturday,Sat8.50.7C07,Theory,1
56,7C07,9:40:00,10:30:00,Saturday,Sat9.40.7C07,Theory,1
57,7C07,10:30:00,11:20:00,Saturday,Sat10.30.7C07,Theory,2
58,7C07,11:20:00,12:10:00,Saturday,Sat11.20.7C07,Theory,2
59,7C07,12:10:00,13:00:00,Saturday,Sat12.10.7C07,Theory,2
60,7C07,13:00:00,13:50:00,Saturday,Sat1.00.7C07,Theory,3
61,7C07,13:50:00,14:40:00,Saturday,Sat1.50.7C07,Theory,3
62,7C07,14:40:00,15:30:00,Saturday,Sat2.40.7C07,Theory,3
63,7A03,8:00:00,8:50:00,Sunday,Sun8.00.7A03,Theory,1
64,7A03,8:50:00,9:40:00,Sunday,Sun8.50.7A03,Theory,1
65,7A03,9:40:00,10:30:00,Sunday,Sun9.40.7A03,Theory,1
66,7A03,10:30:00,11:20:00,Sunday,Sun10.30.7A03,Theory,2
67,7A03,11:20:00,12:10:00,Sunday,Sun11.20.7A03,Theory,2
68,7A03,12:10:00,13:00:00,Sunday,Sun12.10.7A03,Theory,2
69,7A03,13:00:00,13:50:00,Sunday,Sun1.00.7A03,Theory,3
70,7A03,13:50:00,14:40:00,Sunday,Sun1.50.7A03,Theory,3
71,7A03,14:40:00,15:30:00,Sunday,Sun2.40.7A03,Theory,3
72,7A04,8:00:00,8:50:00,Sunday,Sun8.00.7A04,Theory,1
73,7A04,8:50:00,9:40:00,Sunday,Sun8.50.7A04,Theory,1
74,7A04,9:40:00,10:30:00,Sunday,Sun9.40.7A04,Theory,1
75,7A04,10:30:00,11:20:00,Sunday,Sun10.30.7A04,Theory,2
76,7A04,11:20:00,12:10:00,Sunday,Sun11.20.7A04,Theory,2
77,7A04,12:10:00,13:00:00,Sunday,Sun12.10.7A04,Theory,2
78,7A04,13:00:00,13:50:00,Sunday,Sun1.00.7A04,Theory,3
79,7A04,13:50:00,14:40:00,Sunday,Sun1.50.7A04,Theory,3
80,7A04,14:40:00,15:30:00,Sunday,Sun2.40.7A04,Theory,3
81,7A05,8:00:00,8:50:00,Sunday,Sun8.00.7A05,Theory,1
82,7A05,8:50:00,9:40:00,Sunday,Sun8.50.7A05,Theory,1
83,7A05,9:40:00,10:30:00,Sunday,Sun9.40.7A05,Theory,1
84,7A05,10:30:00,11:20:00,Sunday,Sun10.30.7A05,Theory,2
85,7A05,11:20:00,12:10:00,Sunday,Sun11.20.7A05,Theory,2
86,7A05,12:10:00,13:00:00,Sunday,Sun12.10.7A05,Theory,2
87,7A05,13:00:00,13:50:00,Sunday,Sun1.00.7A05,Theory,3
88,7A05,13:50:00,14:40:00,Sunday,Sun1.50.7A05,Theory,3
89,7A05,14:40:00,15:30:00,Sunday,Sun2.40.7A05,Theory,3
90,7A06,8:00:00,8:50:00,Sunday,Sun8.00.7A06,Theory,1
91,7A06,8:50:00,9:40:00,Sunday,Sun8.50.7A06,Theory,1
92,7A06,9:40:00,10:30:00,Sunday,Sun9.40.7A06,Theory,1
93,7A06,10:30:00,11:20:00,Sunday,Sun10.30.7A06,Theory,2
94,7A06,11:20:00,12:10:00,Sunday,Sun11.20.7A06,Theory,2
