ID,RoomNo,startTime,endTime,Day,slotID,CourseType,Session
0,7A03,8:00:00,8:50:00,Saturday,Sat8.00.7A03,Theory,1
1,7A03,8:00:00,8:50:00,Sunday,Sun8.00.7A03,Theory,1
2,7A03,8:00:00,8:50:00,Monday,Mon8.00.7A03,Theory,1
3,7A03,8:00:00,8:50:00,Tuesday,Tue8.00.7A03,Theory,1
4,7A03,8:00:00,8:50:00,Wednesday,Wed8.00.7A03,Theory,1
5,7A03,8:00:00,8:50:00,Thursday,Thu8.00.7A03,Theory,1
6,7A03,8:50:00,9:40:00,Saturday,Sat8.50.7A03,Theory,1
7,7A03,8:50:00,9:40:00,Sunday,Sun8.50.7A03,Theory,1
8,7A03,8:50:00,9:40:00,Monday,Mon8.50.7A03,Theory,1
9,7A03,8:50:00,9:40:00,Tuesday,Tue8.50.7A03,Theory,1
10,7A03,8:50:00,9:40:00,Wednesday,Wed8.50.7A03,Theory,1
11,7A03,8:50:00,9:40:00,Thursday,Thu8.50.7A03,Theory,1
12,7A03,9:40:00,10:30:00,Saturday,Sat9.40.7A03,Theory,1
13,7A03,9:40:00,10:30:00,Sunday,Sun9.40.7A03,Theory,1
14,7A03,9:40:00,10:30:00,Monday,Mon9.40.7A03,Theory,1
15,7A03,9:40:00,10:30:00,Tuesday,Tue9.40.7A03,Theory,1
16,7A03,9:40:00,10:30:00,Wednesday,Wed9.40.7A03,Theory,1
17,7A03,9:40:00,10:30:00,Thursday,Thu9.40.7A03,Theory,1
18,7A03,10:30:00,11:20:00,Saturday,Sat10.30.7A03,Theory,2
19,7A03,10:30:00,11:20:00,Sunday,Sun10.30.7A03,Theory,2
20,7A03,10:30:00,11:20:00,Monday,Mon10.30.7A03,Theory,2
21,7A03,10:30:00,11:20:00,Tuesday,Tue10.30.7A03,Theory,2
22,7A03,10:30:00,11:20:00,Wednesday,Wed10.30.7A03,Theory,2
23,7A03,10:30:00,11:20:00,Thursday,Thu10.30.7A03,Theory,2
