TeacherName,Designation
Dr. Kazi A Kalpoma,Professor
Dr. S. M. Abdullah Al-Mamun,Professor
Mr. Md. Khairul Hasan,Associate professor
Dr. Mohammad Shafiul Alam,Associate professor
Mr. Mohammad Moinul Hoque,Associate professor
Dr. Md Shahriar Mahbub,Associate professor
Mr. Faisal Muhammad Shah,Assistant professor
Ms. Qamrun Nahar Eity,Assistant professor
Mr. Tanvir Ahmed,Assistant professor
Mr. Md. Wasi Ul Kabir,Assistant professor
Mr. Emam Hossain,Assistant professor
Ms. Syeda Shabnam Hasan,Assistant professor
Mr. Nazmus Sakib,Assistant professor
Mr. Md. Hosne-Al-Walid Shaiket,Assistant professor
Ms. Shanjida Khatun,Assistant professor
Ms. Raqeebir Rab,Assistant professor
Mr. Mohammad Imrul Jubair,Assistant professor
Ms. Afsana Ahmed Munia,Assistant professor
Ms. Zarrin Tasnim Sworna,Assistant professor
Dr. Nusrat Sharmin,Assistant professor
Mr. Mir Tafseer Nayeem,Assistant professor
Mr. D. M. Anisuzzaman,Lecturer
Mr. Tanveer Ahmed Belal,Lecturer
Mr. Sujan Sarker,Lecturer
Ms. Tahsin Aziz,Lecturer
Mr. Md. Aminur Rahman,Lecturer
Mr. Shoeb Mohammad Shahriar,Lecturer
Mr. Taksir Hasan Majumder,Lecturer
Sk. Murad Hassan Anik,Lecturer
Ms. Anika Sayara,Lecturer
Mr. Mir Imtiaz Mostafiz,Lecturer
Ms. Mahzabeen Emu,Lecturer
Ms. Tasnim Kabir,Lecturer
