CourseNo,slotID,RoomNo,Section,StudentGroup,Session
CSE4255,Sat10.30.7A07,7A07,A,3,2
CSE4255,Sat11.20.7A07,7A07,A,3,2
CSE4213,Sat12.10.7A07,7A07,A,3,2
CSE4214,Sat1.00.7B05,7B05,A,3,3
CSE4227,Sun1.00.7A07,7A07,A,3,3
CSE4213,Sun1.50.7A07,7A07,A,3,3
CSE4213,Sun2.40.7A07,7A07,A,3,3
CSE4203,Mon11.20.7C07,7C07,A,3,2
CSE4225,Mon1.50.7C06,7C06,A,3,3
CSE4255,Mon2.40.7C06,7C06,A,3,3
CSE4226,Tue8.00.7B06,7B06,A,3,1
CSE4227,Tue10.30.7A05,7A05,A,3,2
CSE4225,Tue11.20.7A05,7A05,A,3,2
CSE4203,Tue12.10.7A05,7A05,A,3,2
CSE4228,Wed8.00.7B08,7B08,A,3,1
CSE4227,Wed10.30.7A05,7A05,A,3,2
CSE4203,Wed11.20.7A05,7A05,A,3,2
CSE4225,Wed12.10.7A05,7A05,A,3,2
CSE4204,Thu10.30.7B03,7B03,A,3,2
CSE4214,Sat10.30.7B05,7B05,B,3,2
CSE4255,Sat1.00.7C07,7C07,B,3,3
CSE4213,Sat1.50.7C07,7C07,B,3,3
CSE4213,Sat2.40.7C07,7C07,B,3,3
CSE4213,Sun1.00.7C07,7C07,B,3,3
CSE4227,Sun1.50.7C07,7C07,B,3,3
CSE4255,Mon12.10.7C07,7C07,B,3,2
CSE4255,Mon1.00.7C07,7C07,B,3,3
CSE4203,Mon1.50.7C07,7C07,B,3,3
CSE4225,Mon2.40.7C07,7C07,B,3,3
CSE4203,Tue10.30.7C07,7C07,B,3,2
CSE4227,Tue11.20.7C07,7C07,B,3,2
CSE4225,Tue12.10.7C07,7C07,B,3,2
CSE4228,Tue1.00.7B06,7B06,B,3,3
CSE4226,Wed8.00.7B06,7B06,B,3,1
CSE4225,Wed10.30.7A06,7A06,B,3,2
CSE4227,Wed11.20.7A06,7A06,B,3,2
